parentCompany,businessName,businessType,expires,street,city,state,zipCode
RLJ III MH DENVER AIRPORT LESEEE LLC,MARRIOTT DENVER AIRPORT HOTEL,Hotel & Restaurant (city), 07/13/2015,16455 E 40TH CR,AURORA,CO,800110802
RLJ II-MH DENVERWHITE LODGING SERV,MARRIOTT DENVER SOUTH,Hotel & Restaurant (county), 09/13/2016,10345 PARK MEADOWS DR,LITTLETON,CO,801246734
RLJ II-R GOLDEN WHITE LODGING SERV,RESIDENCE INN GOLDEN,Hotel & Restaurant (city), 09/13/2015,14600 W 6TH AVE FRONTAGE RD,Golden,CO,80401
RLJ II-R LONGMONT WHITE LODGING SERV,RESIDENCE INN BY MARRIOTT LONGMONT,Hotel & Restaurant (city), 10/09/2015,1450 DRY CREEK DR,Longmont,CO,805036499
RLJ II-R LOUISVILLE WHITE LODGING SERV,RESIDENCE INN BY MARRIOTT LOUISVILLE,Hotel & Restaurant (city), 09/13/2015,845 COAL CREEK CIR,Louisville,CO,800279750
RLJ II-RH BOULDER WHITE LODGING SRVCS,RENAISSANCE SUITES BROOMFIELD,Hotel & Restaurant (city), 06/13/2016,500 FLATIRON BLVD,Broomfield,CO,800218228
RLJ II-S WESTMINSTERWHITE LODGING SERVICE,SPRINGHILL SUITES WESTMINSTER,Hotel & Restaurant (city), 09/13/2015,6845 W 103RD AVE,Westminster,CO,800215495
RLJII GRAND JUNCTION WHITE LODGING SVC,RESIDENCE INN BY MARRIOTT GRAND JUNCTION,Tavern (city), 06/10/2015,767 HORIZON DRIVE,Grand Junction,CO,815063965
RLJII-C GRAND JUNCTION LESSEE LLC,COURTYARD BY MARRIOTT GRAND JUNCT,Tavern (city), 10/15/2015,765 HORIZON DR,Grand Junction,CO,815063965
RMBC INTERQUEST LLLP,COLORADO MOUNTAIN BREWERY,Brew Pub (city), 04/04/2016,11202 RAMPART HILLS VIEW,Colorado Springs,CO,809214180
"RMC DISTRIBUTORS, LLC",ROCKY MOUNTAIN COORS DISTRIBUTING,Wholesale (vinous & spirituous), 04/15/2016,4710 NORTHPARK DRIVE,Colorado Springs,CO,80918
RMES COMMUNICATIONS INC,WINE,Liquor Store (city), 04/02/2016,8400 PENA BLVD CONCOURSE A - SP RMU 2003,Denver,CO,80249
RMF ACQUISITION LLC,MELTING POT THE,Hotel & Restaurant (city), 04/13/2016,2707 W MAIN ST,LITTLETON,CO,801201977
RMR COLORADO LLC,BLACK EYED PEA,Hotel & Restaurant (city), 05/12/2016,501 W GARDEN OF THE GODS,COLORADO SPRINGS,CO,80907
RMR COLORADO LLC,BLACK EYED PEA,Hotel & Restaurant (city), 03/02/2016,801 HWY 50 WEST,PUEBLO,CO,81008
RMR COLORADO LLC,BLACK EYED PEA,Hotel & Restaurant (city), 05/07/2016,211 W 104TH AVE,Northglenn,CO,802344103
RMR COLORADO LLC,BLACK EYED PEA,Hotel & Restaurant (city), 03/26/2016,850 NEW MEMPHIS CT,Castle Rock,CO,80104
RMR COLORADO LLC,BLACK EYED PEA,Hotel & Restaurant (city), 03/17/2016,1470 S COLORADO BLVD,DENVER,CO,802223605
RMR COLORADO LLC,BLACK EYED PEA,Hotel & Restaurant (city), 12/21/2015,5180 S BROADWAY,Englewood,CO,801106706
RMR COLORADO LLC,BLACK EYED PEA,Hotel & Restaurant (city), 05/12/2016,887 N ACADEMY BLVD,COLORADO SPRINGS,CO,809098308
RMR COLORADO LLC,BLACK EYED PEA RESTAURANT,Hotel & Restaurant (city), 01/18/2016,7095 W 88TH AVE,Westminster,CO,800216401
RMR COLORADO LLC,BLACK EYED PEA,Hotel & Restaurant (city), 05/13/2016,94 WADSWORTH BLVD,LAKEWOOD,CO,802261502
RNR HOSPITALITY LLC,FLATBREAD PIZZA CO THE,Beer & Wine (city), 08/15/2016,520 S MAIN ST,Breckenridge,CO,80424
RNR SPORTSBAR LLC,RNR SPORTSBAR,Hotel & Restaurant (city), 08/11/2015,35 N UNCOMPAHGRE AVE,MONTROSE,CO,814013957
ROAD 34 DELI & TAVERN LLC,ROAD 34 DOS,Tavern (city), 10/23/2015,1228 W. ELIZABETH ST. UNIT D,Fort Collins,CO,80521
ROAD 34 DELI & TAVERN LLC,ROAD 34 BIKE BAR,Hotel & Restaurant (city), 08/16/2015,1213 W ELIZABETH UNIT A,Fort Collins,CO,80521
ROADHOUSE OFLONGMONT LLC,TEXAS ROADHOUSE,Hotel & Restaurant (city), 03/15/2016,2301 CLOVER BASIN DR 2351,LONGMONT,CO,805037603
ROARING FORK BEER COMPANY,ROARING FORK BEER COMPANY,Wholesale Beer (malt liquor), 03/09/2016,1831 DOLORES WAY,Carbondale,CO,81623
ROARING FORK BREWING COMPANY LLC,ROARING FORK BEER COMPANY,Manufacturer (brewery), 02/18/2016,1831 DOLORES WAY,Carbondale,CO,81623
ROARING FORK FRIENDS OF THE THEATER INC,THUNDER RIVER THEATRE COMPANY,Arts License (city), 05/25/2016,67 PROMENADE,Carbondale,CO,816235700
ROARING FORK LIQUORSINC,ROARING FORK LIQUORS,Liquor Store (city), 10/22/2015,3120C BLAKE AVE,GLENWOOD SPRINGS,CO,816014464
ROARING FORK RESTAURANTS INC,CHEDDARS CASUAL CAFE,Hotel & Restaurant (city), 09/22/2015,1140 INTERQUEST PKWY,Colorado Springs,CO,80921
ROARING FORK RESTAURANTS INC,CHEDDARS CASUAL CAFE,Hotel & Restaurant (city), 01/22/2016,10250 GRANT ST,Thornton,CO,80229
ROARING FORK RESTAURANTS INC,CHEDDARS CASUAL CAFE,Hotel & Restaurant (city), 10/06/2015,15775 E BRIARWOOD CR,Aurora,CO,800161562
ROBADA LLC,HIGH PLAINS LIQUOR,Liquor Store (county), 10/30/2015,17601 HWY 34,Fort Morgan,CO,80701
ROBBINS LLC,MATT'S PLACE,Tavern (city), 06/16/2016,6013 SOUTH COLLEGE,Fort Collins,CO,80525
ROBERT CORPORATION,HARMEL'S RANCH RESORT,3.2% Beer Off Premises (county), 06/17/2016,6748 CR 742,Almont,CO,81210
ROBERT J WILCOX INNS INC,WEST GATE INN,Hotel & Restaurant (city), 01/31/2016,2210 HWY 6&50,Grand Junction,CO,815059402
ROBERTO TORRES & SON INC,LAS DELICIAS #5,Hotel & Restaurant (city), 11/06/2015,4301 E KENTUCKY AVE,GLENDALE,CO,802462007
ROBERTS CORPORATION,HARMEL'S RANCH RESORT,Hotel & Restaurant (county), 06/17/2016,6748 CR 742,Almont,CO,81210
ROBERTSON AND ASSOCIATES WINERY LTD,COLORADO HONEY WINE,Limited Winery, 02/09/2016,1088 PINEWICKET WAY,Parker,CO,801384411
ROBINSON LIQUOR LLC,ARIZONA LIQUOR STORE,Liquor Store (city), 06/21/2015,847 ARIZONA AVE,Trinidad,CO,810822115
ROCC BOULDER LLC,CHEESE COURSE THE,Beer & Wine (city), 05/04/2016,2525 ARAPAHOE AVE UNIT C 1,Boulder,CO,80302
ROCHA'S LIQUOR INC,VIEJO LIQUOR,Liquor Store (city), 07/14/2016,3935 QUEBEC STREET,Denver,CO,80207
ROCK CREEK WINE & SPIRITS DL INC.,ROCKCREEK WINE & SPIRITS,Liquor Store (city), 09/03/2015,1611 COALTON RD,Superior,CO,800274610
"ROCK POCKETZ, LLC",THE WRECK ROOM SALOON,Tavern (city), 01/11/2016,2695 W 92ND AVE,Denver,CO,80260
ROCK THE CASBAH LLC,MARQUIS THEATER/MARQUIS PIZZA THE,Hotel & Restaurant (city), 01/29/2016,2009 LARIMER ST,DENVER,CO,802052014
ROCKAWAY LLC,ROCKAWAY CAFE,Tavern (city), 03/12/2016,30333 W HWY 160,SOUTH FORK,CO,81154
ROCKETTE TAVERN INC,ROCKETTE TAVERN,Tavern (city), 12/29/2015,10006 W 44TH AVE,Wheat Ridge,CO,800332802
ROCKIES FOOD LLC,KRAZY KARLS PIZZA,Beer & Wine (city), 07/22/2016,1124-1128 W ELIZABETH ST,FT COLLINS,CO,805214507
ROCKIES GOLF CORP,SUNSET GOLF COURSE,Hotel & Restaurant / Optional (city), 05/30/2016,1900 LONGS PEAK AVE,Longmont,CO,805014790
ROCKIES GOLF CORP,UTE CREEK GOLF COURSE,Hotel & Restaurant / Optional (city), 06/14/2016,2000 UTE CREEK DR,Longmont,CO,805033703
ROCKIES LIQUORS LLC,ROCKIES LIQUORS,Liquor Store (city), 08/25/2016,8600 WASHINGTON ST,Thornton,CO,80229
ROCKIN B LIQUOR LLC,ROCKIN B LIQUOR LLC,Liquor Store (city), 04/01/2016,300 CHICAGO AVE,SEIBERT,CO,80834
ROCKRESORTS ARABELLE LLC,ARRABELLE AT VAIL SQUARE THE,Resort Complex (city), 10/18/2015,675 LIONSHEAD PLACE,VAIL,CO,816575230
ROCKSLIDE BREW PUB INC,ROCKSLIDE BREW PUB,Brew Pub (city), 08/18/2015,401 MAIN,Grand Junction,CO,815032511
ROCKWELL RHONDA L,STRATMOOR LIQUORS,Liquor Store (county), 01/26/2016,1807 B ST,COLORADO SPRINGS,CO,809065300
ROCKY ASPEN LLC,DAVID BURKE'S KITCHEN,Hotel & Restaurant (city), 04/09/2016,204 S GALENA ST,Aspen,CO,81611
ROCKY FLATS LOUNGE LLC,ROCKY FLATS LOUNGE,Tavern (county), 06/10/2016,11229 S HWY 93,GOLDEN,CO,80401
ROCKY FORD BPOE #1147,ROCKY FORD BPOE #1147,Club License (city), 12/31/2015,301 N 9TH ST,ROCKY FORD,CO,810671242
ROCKY MOUNTAIN BAKERIES INC,BAKERY AT MTCB,Tavern (city), 01/26/2016,22 CRESTED MT WAY STE S-3,Crested Butte,CO,81225
ROCKY MOUNTAIN BLUE LLC,NEW MOON CAFE,Hotel & Restaurant (county), 07/27/2016,140 IDA BELLE DR #25,Keystone,CO,804357780
ROCKY MOUNTAIN BREWING COMPANY LLC,ROCKY MOUNTAIN BREWERY,Manufacturer (brewery), 04/03/2016,625 PAONIA ST,COLORADO SPRINGS,CO,809153727
ROCKY MOUNTAIN BREWING COMPANY LLC,ROCKY MOUNTAIN BREWERY,Wholesale Beer (malt liquor), 04/03/2016,625 PAONIA ST,COLORADO SPRINGS,CO,809153727
ROCKY MOUNTAIN BUTTERFLY CONSORTIUM,BUTTERFLY PAVILION,Arts License (city), 12/18/2015,6252 W 104TH AVE,Westminster,CO,80020
ROCKY MOUNTAIN CIDER CO,ROCKY MOUNTAIN WILD CIDER,Manufacturer (winery), 10/07/2015,11455 COUNTY 17,Longmont,CO,80504
"ROCKY MOUNTAIN CINEMAS, INC",AURORA CINEMA GRILL,Hotel & Restaurant (city), 09/27/2015,13682 E ALAMEDA AVE,Aurora,CO,800121303
ROCKY MOUNTAIN ENTERTAINMENT LLC,CLUB GALAXY,Tavern (city), 03/12/2016,2025 CLINTON ST,Aurora,CO,80010
ROCKY MOUNTAIN FISHING LODGE LLC,LODGE SASQUATCH KITCHEN THE,Hotel & Restaurant (city), 12/30/2015,151 N COLLEGE AVENUE,Fort Collins,CO,80524
ROCKY MOUNTAIN HOTEL PROPERTIES I LLC,ESTES PARK RESORT & HOTEL,Hotel & Restaurant (city), 10/12/2015,1700 BIG THOMPSON AVE,Estes Park,CO,805178928
ROCKY MOUNTAIN LIQUORS LLC,ROCKY MOUNTAIN LIQUORS,Liquor Store (county), 11/12/2015,17454 CR 501 STE B,BAYFIELD,CO,811228712
ROCKY MOUNTAIN MOONSHINE INC.,ROCKY MOUNTAIN MOONSHINE,Liquor Store (city), 04/01/2016,76827 US HIGHWAY 40,Fraser,CO,80442
ROCKY MOUNTAIN PARK INN LLC,ROCKY MOUNTAIN PARK INN,Hotel & Restaurant (city), 07/19/2016,101 SOUTH ST VRAIN AVE,ESTES PARK,CO,805176316
ROCKY MOUNTAIN PARK INN LLC,ROCKY MOUNTAIN PARK INN,Optional Premises (city), 05/29/2016,1209 MANFORD AVE EVENTS CENTER & PAVILLION,Estes Park,CO,80517
ROCKY MOUNTAIN PROPERTIES LLC,WINGATE BY WYNDHAM,Tavern (city), 02/20/2016,8000 E PEAKVIEW AVE,Greenwood Village,CO,80111
ROCKY MOUNTAIN RENAISSANCE CO LLC,BEST WESTERN DEER PARK INN & SUITES,Hotel & Restaurant / Optional (city), 09/15/2015,262 COMMERCE STREET,Craig,CO,816253635
ROCKY MOUNTAIN REPERTORY THEATRE,ROCKY MOUNTAIN REPERTORY THEATRE,Arts License (city), 04/26/2016,800 GRAND AVE,GRAND LAKE,CO,80447
ROCKY MOUNTAIN RESTAURANT GROUP INC,SALSA BRAVA/URBAN EGG,Hotel & Restaurant (county), 05/02/2016,52 W SPRINGER DR,Highlands Ranch,CO,801262314
ROCKY MOUNTAIN RESTAURANT GROUP INC,SONTERRA INNOVATIVE SOUTHEST GRILL,Hotel & Restaurant (city), 07/29/2016,28 S TEJON ST,COLORADO SPRINGS,CO,809031531
ROCKY MOUNTAIN RESTAURANT GROUP INC,SALSA BRAVA FRESH MEXICAN GRILL,Hotel & Restaurant (city), 03/11/2016,802 VILLAGE CENTER DR,Colorado Springs,CO,809193603
ROCKY MOUNTAIN SWIRL INC,LIGHT RAIL WINE & ALE,Liquor Store (city), 06/10/2016,14799 W 6TH AVE,Golden,CO,804015298
ROCKY MOUNTAIN VINIFERA INC,ROCKY MOUNTAIN VINIFERA INC,Wholesale (vinous & spirituous), 11/12/2015,6050 E 58TH AVE UNIT B,Commerce City,CO,800223957
ROCKY MOUNTAIN WINE GROUP LLC,VERAISON BEVERAGE DISTRIBUTORS,Wholesale (vinous & spirituous), 09/26/2015,445 BRYANT STREET UNIT 3,Denver,CO,802044800
ROCKY MOUNTAINLIQUORS INC,ROCKY MOUNTAIN LIQUORS,Liquor Store (city), 08/24/2015,1735 RAILROAD AVE,RIFLE,CO,816503333
ROCKY MOUNTAINRESTAURANT GROUP INC,SALSA BRAVA FRESH MEXICAN GRILL,Hotel & Restaurant (city), 03/19/2016,9420 BRIAR VILLAGE POINT #D,COLORADO SPRINGS,CO,80920
ROCKY MOUNTAINSALOON INC,ROCKY MOUNTAIN SALOON,Tavern (city), 12/21/2015,4329 HWY 66,Mead,CO,805429999
ROCKY MTN C STORES INC,PARACHUTE SHELL,3.2% Beer Off Premises (city), 02/17/2016,200 COUNTY RD 215,PARACHUTE,CO,816359703
ROCKY MTN C STORES INC,ROCKY MTN C STORES,3.2% Beer Off Premises (city), 10/24/2015,201 COLUMBINE CT,Parachute,CO,816359529
ROCKY MTN PHARMACY OF ESTES PARK INC,ROCKY MTN PHARMACY OF ESTES PARK,Liquor Licensed Drug Store (city), 08/31/2016,453 E WONDERVIEW AVE #1,Estes Park,CO,80517
ROCKY RYE LLC,ROCKY RYE AND SPIRITS,Manufacturer (distillery & rectifier), 09/23/2015,936 CHAMBERS CT UNIT B4,Eagle,CO,81631
ROCKY RYE LLC,39 NORTH SPIRITS,Wholesale (vinous & spirituous), 04/19/2016,936 CHAMBERS CT UNIT B4,Eagle,CO,81631
ROCKY TOP TAVERN LLC,ROCKY TOP TAVERN,Tavern (city), 04/09/2016,4907 LOWELL BLVD,Denver,CO,80221
ROCKYARD BREWING CO LLC,ROCKYARD BREWING CO,Brew Pub (county), 04/19/2016,880 W CASTLETON RD,Castle Rock,CO,801097548
ROCKYARD BREWING COMPANY LLC,ROCKYARD BREWING COMPANY LLC,Alternating Proprietor Premises,,880 CASTLETON ROAD,Castle Rock,CO,80109
ROCKYSPRING WINERYLLC,ROCKYSPRING WINERY,Limited Winery, 09/08/2015,1339 WOLFE RD,HARTSEL,CO,80449
RODARTE CARMEN A,CARMEN'S,Hotel & Restaurant (city), 07/06/2016,625 CARSON AVE,LAS ANIMAS,CO,810541733
RODGERS INC,SHILOH STEAKHOUSE,Hotel & Restaurant (city), 01/22/2016,5 SOUTH VEACH,CORTEZ,CO,813212951
RODRIGUEZ ANDRES CORTEZ JOSE,CAZADOR'S MEXICAN GRILL & CANTINA,Hotel & Restaurant (city), 12/06/2015,2140 35TH AVE,GREELEY,CO,806343910
RODRIGUEZ DIANNA J,BOMARETO'S HILLTOP GROCERY MARKET,3.2% Beer On/Off Premises (county), 02/01/2016,5500 N WASHINGTON ST,Denver,CO,802161723
RODRIGUEZ ELIAS RODRIGUEZ MARISELA,EL POTRERO REST & BAR,Hotel & Restaurant (city), 11/26/2015,208-212 E EDISON ST,Brush,CO,807232520
RODRIGUEZ INC,LOS DOS TARASCOS RESTAURANT,Hotel & Restaurant (city), 08/07/2015,"12507 E MISSISSIPPI AVENUE, UNIT 302",Aurora,CO,80012
RODZ LLC,STORE PEREZ I,3.2% Beer Off Premises (city), 10/30/2015,490 S FEDERAL BLVD,Denver,CO,802192967
ROE KENNETH A,OLIVE STREET STATION,Liquor Store (city), 05/20/2016,403 E OLIVE ST,Lamar,CO,810522842
ROGER DODGERLLC,LAKESIDE LIQUORS,Liquor Store (city), 09/25/2015,5820 W 44TH AVE,WHEAT RIDGE,CO,800337425
ROGERS INN THE PINES LLC,ROGERS INN THE PINES,Bed & Breakfast Permit, 08/07/2016,18750 ROGERS PINE GROVE,MONUMENT,CO,80132
ROHINI INC,SOUTHWEST LIQUOR,Liquor Store (city), 09/15/2015,8500 W CRESTLINE AVE UNIT G-2,Denver,CO,801230755
ROHRBACHER MOORE LLC,PAGOSA SPRINGS CENTER FOR THE ARTS,Tavern (city), 03/23/2016,2313 EAGLE DR,Pagosa Springs,CO,811479058
ROJAS & ROJAS  LLC,GARLIC & ONIONS MEXICAN GRILL,Hotel & Restaurant (city), 11/30/2015,4333 THATCHER AVE,Pueblo,CO,810051036
ROJAS INCORPORATED,ROJAS RESTAURANTE MEXICANO,Hotel & Restaurant (county), 12/28/2015,877 E ENTERPRISE DR,PUEBLO WEST,CO,810071476
ROJAS INCORPORATED,ROJAS RESTAURANTE MEXICANO,Hotel & Restaurant (city), 06/02/2016,126 E 4TH STREET,PUEBLO,CO,810014104
ROLIANT INC,OLD VINE LIQUORS,Liquor Store (county), 12/07/2015,9956 W REMINGTON PL A-12,LITTLETON,CO,801286732
ROLLCO INC,DELUXE TAVERN,Tavern (city), 10/29/2015,407 N SANTA FE AVE,Pueblo,CO,810034135
ROLLING CLOUD INC,SADDLE ROCK WINE & SPIRITS,Liquor Store (city), 05/27/2016,"7450 SOUTH GARTRELL ROAD, #A5-A6",Aurora,CO,80016
ROLLING FORK GRILL LLC,LAZY BEAR RESTAURANT,Hotel & Restaurant (city), 07/01/2015,285 W MAIN ST,New Castle,CO,81647
ROLLING FORK GRILL LLC,BRICK HOUSE PIZZERIA,Hotel & Restaurant (city), 04/01/2016,820 MAIN STREET,Silt,CO,81652
ROMANOS CORP,ROMANOS PIZZERIA,Hotel & Restaurant (city), 08/09/2015,5666 S WINDERMERE,LITTLETON,CO,801201240
ROME INC,FIESTA GUADALAJARA FRUITA,Hotel & Restaurant (city), 06/15/2016,103 US HWY 6 & 50,FRUITA,CO,81521
ROMERO ENTERPRISESLLC,EAST 28TH LIQUORS,Liquor Store (city), 12/14/2015,3513 E 28TH AVE,Denver,CO,802055027
ROMERO MARY Y,ROMEROS LIQUORS,Liquor Store (county), 10/18/2015,1804 N LINDEN,Trinidad,CO,810821235
ROMI INC,AI SUSHI & GRILL,Hotel & Restaurant (city), 05/31/2016,4655 CENTENNIAL BLVD,COLORADO SPRINGS,CO,809193304
RON AND JODI ENTRERPRISES LLC,RAZZ TAVERN AND GRILL,Tavern (city), 09/19/2015,616 E MAIN,Rangely,CO,81648
RON AND SAMANTHA LLC,EVERGREEN SOUTH CAFE,Hotel & Restaurant (county), 06/05/2016,7071 HIGHWAY 73,Evergreen,CO,80439
RONDON ENTERPRISES INC,STONEY MESA WINERY LTD/PTARMIGAN VINEYARD,Limited Winery, 07/11/2016,16199 HAPPY HOLLOW ROAD,CEDAREDGE,CO,814138348
RON-LEE-VON LLC,WHITE HORSE INN LLC,Tavern (city), 01/09/2016,2750 8TH AVE,Garden City,CO,806318414
RON'S BELLE INC,ROSA MIA INN THE,Tavern (city), 02/13/2016,4395 YATES ST,Denver,CO,80212
RON'S LIQUORS INC,RON'S LIQUORS,Liquor Store (city), 07/26/2016,6400 W 92ND AVE SUITE 100,Westminster,CO,800302952
ROOKIES RESTAURANT AND SALOON LLC,ROOKIES RESTAURANT AND SALOON,Hotel & Restaurant (county), 06/12/2016,1323 MONROE ST,STRASBURG,CO,801367506
ROOSEVELT INC,ROOSEVELT,Tavern (city), 12/16/2015,1512 LARIMER ST R-29,Denver,CO,80202
ROOSTER & MOON COFFEE PUB LLC,ROOSTER & MOON COFFEE PUB,Tavern (city), 05/05/2016,955 BANNOCK ST SUITE 100,DENVER,CO,802044027
ROOSTERS GRILLE & PIZZARIA LLC,ROOSTERS GRILLE & PIZZARIA,Hotel & Restaurant (city), 04/30/2016,"1000 5TH ST, A",Calhan,CO,80808
ROPA ENTERPRISES INC,PAPPY'S GOLF SHOP,Tavern (city), 07/05/2016,4030 SINTON RD,Colorado Springs,CO,809095039
ROSA LINDA'S MEXICAN CAFE LLC,ROSA LINDA'S MEXICAN CAFE,Hotel & Restaurant (city), 07/04/2015,2005 W 33RD AVE,Denver,CO,802113413
ROSALEE'S PIZZERIA INC,ROSALEE'S PIZZERIA,Hotel & Restaurant (city), 12/18/2015,461 MAIN ST,Longmont,CO,80501
ROSAS INC,LAGUNA'S II RESTAURANTE MEXICANO,Hotel & Restaurant (city), 07/20/2015,710 WEST 120TH AVE,Westminster,CO,802342706
ROSCO'S INC,KANNAH CREEK BREWING CO,Brew Pub (city), 09/26/2015,1960 N 12TH STREET,Grand Junction,CO,815012912
ROSCO'S INC,EDGEWATER BREWERY,Brew Pub (city), 04/17/2016,905 STRUTHERS AVE,Grand Junction,CO,81501
ROSE GARDEN INC,ROSE GARDEN CHINESE RESTAURANT,Hotel & Restaurant (city), 10/22/2015,7503 W 80TH AVE,Arvada,CO,800032113
ROSEBUD HOLDINGS LLC,LONGS PEAK PUB & TAPHOUSE,Hotel & Restaurant (city), 06/01/2016,600 LONGS PEAK AVE UNIT E,Longmont,CO,80501
ROSELLE ENTERPRISES LLC,LUIGI'S SPORTS BAR & PIZZERIA,Hotel & Restaurant (city), 07/21/2016,411 S MAIN ST #5,Breckenridge,CO,80424
ROSEMARY LIQUORS INC,ROSEMARY LIQUOR AND FOOD MART,Liquor Store (city), 01/22/2016,8210 ROSEMARY ST,COMMERCE CITY,CO,800224912
ROSE'S BELLA CUCINA LLC,ROSE'S BELLA CUCINA,Hotel & Restaurant (city), 01/28/2016,3980 LIMELIGHT AVE #A,Castle Rock,CO,80109
ROSEWOOD VENTURES LLC,ROOFTOP,Tavern (city), 06/22/2016,305 G STREET,Salida,CO,81201
ROSITA INC,TEQUILA'S,Hotel & Restaurant (city), 07/10/2016,1740 E MAIN,Cortez,CO,813213077
ROSITA'S MEXICAN RESTAURANT INC,TEQUILAS FAMILY MEXICAN RESTAURANT,Hotel & Restaurant (county), 08/08/2015,1193 BERGEN PARKWAY UNITS B & C,Evergreen,CO,804399504
ROSSI VENTURES INC,PASQUINI'S PIZZERIA,Hotel & Restaurant (city), 12/06/2015,1310 S BROADWAY,Denver,CO,802102205
ROST & LINDAHL INC,FILLING STATION THE,Tavern (city), 06/09/2016,3507 BRIGHTON BLVD,Denver,CO,802163610
ROTH VENTURES,ROBUSTO ROOM THE,Tavern (city), 01/23/2016,9535 PARK MEADOWS DR D-2,LONE TREE,CO,801245540
ROUDEBUSH JOANNE M,ROUDEBUSH'S LOCAL LIQUOR INC,Liquor Store (city), 06/10/2016,1565 GRAND AVENUE,NORWOOD,CO,81423
ROUGHNECKS SALOON LLC,ROUGHNECKS SALOON,Tavern (city), 12/20/2015,214 E MAIN ST,AGUILAR,CO,81020
ROUMELI INC,1301 SANTA FE DRTAVERN & GRILL,Hotel & Restaurant (city), 11/11/2015,1301 SANTA FE DR,DENVER,CO,802042534
ROUND UP BAR & RESTAURANT INC,LITTLE BEAR,Hotel & Restaurant (county), 12/30/2015,28075 HWY 74,Evergreen,CO,804395729
ROUTE 36 LLC,THE GRAINERY,Tavern (county), 12/14/2015,26681 US HWY 36,Idalia,CO,80735
ROUTT CO YAMPA VALLEY REGIONAL  AIRPORT,THE WAY STATION,Tavern (city), 12/10/2015,11005 RCR 51A,Hayden,CO,81639
ROUTT COUNTY,3 WIRE BAR & GRILL - BANQUET ROOM,Tavern (city), 11/19/2015,11005 ROUTT COUNTY ROAD 51A,Hayden,CO,81639
ROUTT COUNTY YAMP VALLEY REGIONAL AIRPORT,3 WIRE BAR & GRILL,Hotel & Restaurant (city), 11/08/2015,11005 ROUTT COUNTY ROAD 51A,Hayden,CO,81639
ROXYS BOTTLE SHOP INC,ROXY'S BOTTLE SHOP,Liquor Store (city), 10/06/2015,102 E RAINBOW BLVD,SALIDA,CO,812012518
ROYAL CLAY OVEN INC,ROYAL CLAY OVEN,Beer & Wine (city), 08/15/2015,5290 ARAPAHOE RD #B,Boulder,CO,80303
ROYAL DRUG INC,ROYAL WINE & SPIRITS,Liquor Store (city), 03/18/2016,2239 E BRUCE RANDOLPH AVE,DENVER,CO,802054103
ROYAL GARDEN ASIAN GRILL INC,HEAVEN DRAGON,Hotel & Restaurant (city), 01/30/2016,16255 W 64TH AVE #15,Arvada,CO,804037400
ROYAL GORGE BREWING COMPANY LLC,ROYAL GORGE BREWING COMPANY,Brew Pub (city), 03/22/2016,413 MAIN ST,Canon City,CO,812123733
ROYAL GORGE CO OF COLORADO & SSA INC,ROYAL GORGE CO OF COLORADO,Optional Premises (county), 02/02/2016,4218 CR 3A,Canon City,CO,81212
ROYAL GORGE POST4061 V F W,V F W POST 4061,Tavern (city), 01/07/2016,215 N COTTONWOOD,CANON CITY,CO,812122506
ROYAL HOTEL COMPANY THE,ROYAL HOTEL THE,Tavern (city), 10/20/2015,201 MOFFAT AVE UNIT B,YAMPA,CO,804839990
ROYAL LIQUOR CORPORATION,ROYAL LIQUOR,Liquor Store (city), 10/01/2015,7735 WADSWORTH BLVD #21,Arvada,CO,800032143
ROYAL TAVERN CORP,ROYAL TAVERN THE,Tavern (city), 06/25/2016,924 MANITOU AVE,Manitou Springs,CO,808291759
ROYSE JIM ROYSE MARSHA,ROYSE'S BLACK JACK STEAKHOUSE,Hotel & Restaurant (city), 12/29/2015,225 W MAIN ST,Trinidad,CO,81082
RRRL LLC,DACONO LIQUOR,Liquor Store (city), 02/12/2016,600 GLEN CREIGHTON DR,Dacono,CO,80514
RS LLC,KING LIQUOR,Liquor Store (city), 08/12/2016,851 ENGLEWOOD PARKWAY,Englewood,CO,80110
RS22 CORPORATION,80000 LIQUORS,Liquor Store (city), 01/21/2016,2683 E 120TH AVE UNIT B1,Thornton,CO,80233
RSANDHU INC AND 7 ELEVEN INC,7 ELEVEN STORE 34179A,3.2% Beer Off Premises (city), 05/12/2016,4709 N TOWER RD,Denver,CO,802396679
RSK INC & 7-ELEVEN INC,7-ELEVEN STORE 35668A,3.2% Beer Off Premises (city), 01/13/2016,3445 W COLFAX AVENUE,Denver,CO,80204
RT COSTILLA ASSOCIATES LLC,EMBASSY SUITES DENVER-TECH CENTER,Hotel & Restaurant (city), 09/19/2015,10250 E COSTILLA AVE,CENTENNIAL,CO,801123716
RT DENVER FRANCHISE LP,RUBY TUESDAY,Hotel & Restaurant (city), 05/06/2016,14100 E ILIFF AVE,AURORA,CO,800121466
RT DENVER FRANCHISE LP,RUBY TUESDAY,Hotel & Restaurant (city), 10/18/2015,6751 TOWER RD,Denver,CO,802496327
RT DENVER FRANCHISE LP,RUBY TUESDAY,Hotel & Restaurant (city), 05/23/2016,110 BOARDWALK DRIVE,Fort Collins,CO,805253047
RT DENVER FRANCHISE LP,RUBY TUESDAY,Hotel & Restaurant (city), 05/14/2016,9280 SHERIDAN BLVD,WESTMINSTER,CO,800316303
