parentCompany,businessName,businessType,expires,street,city,state,zipCode
32ND AVENUE GROUP INC,HIGHLAND TAP & BURGER,Hotel & Restaurant (city), 07/15/2015,2223 W 32ND AVE,Denver,CO,802113317
336 Main Street LLC,INARI'S A PALISADE BISTRO,Hotel & Restaurant (city), 10/28/2015,336 MAIN STREET,Palisade,CO,81526
357 LLC,LUSCIOUS NECTAR,Tavern (city), 12/26/2015,"807 17TH ST, BASEMENT",Greeley,CO,80631
"35TH AVENUE CAFE BAR, INC",35TH AVE CAFE BAR,Hotel & Restaurant (county), 11/19/2015,73-A SIPPRELLE DRIVE,Battlement Mesa,CO,81635
"3600 S FEDERAL, LLC",CHOIR BOYS,Tavern (city), 10/16/2015,3620 S FEDERAL,Sheridan,CO,80110
3602 E COLFAX LLC,LOST LAKE LOUNGE,Tavern (city), 04/22/2016,3602 E COLFAX AVE,Denver,CO,80206
366 BEACON LLC,DEVINE,Hotel & Restaurant (city), 12/30/2015,366 SECOND ST UNIT D,Monument,CO,80132
38 STATE BREWING COMPANY LLC,38 STATE BREWING COMPANY,Manufacturer (brewery), 01/13/2016,8071 A SOUTH BROADWAY,Littleton,CO,80122
38 STATE BREWING COMPANY LLC,38 STATE BREWING COMPANY,Wholesale Beer (malt liquor), 01/13/2016,8071-A SOUTH BROADWAY,Littleton,CO,801222730
"38TH AVE HOSPITALITY, LLC", SUNNYSIDE BURGER BAR,Hotel & Restaurant (city), 07/09/2016,3759 N LIPAN ST,Denver,CO,80211
3D JP INC,JOHNNY'S NAVAJO HOGAN,Hotel & Restaurant (city), 06/07/2016,2817 N NEVADA AVE,Colorado Springs,CO,809076222
"3DT, INC",GLEN ECHO RESORT,Hotel & Restaurant (county), 06/03/2016,31503 POUDRE CANYON HWY 14,Bellvue,CO,80512
3JR LLC,DOG HAUS,Hotel & Restaurant (city), 03/12/2016,"12023 EAST ARAPAHOE RD, SUITE 120",Centennial,CO,80112
3N VENTURES LLC,SHERIDAN'S LIQUOR,Liquor Store (city), 07/24/2016,8075 SHERIDAN BLVD UNIT E,ARVADA,CO,800031957
3RD GENERATION GROCER LLC,MAYBELL GENERAL STORE,3.2% Beer Off Premises (county), 12/16/2015,60311 US HY 40,Maybell,CO,81640
3S BAR INC,3'S BAR,Tavern (city), 08/26/2016,333 MAIN ST,Longmont,CO,805015532
